Record,Target_SNR,Method,Input_SNR,Output_SNR,SNR_Imp,RMSE
100,0,improved_dae,1.8728203727891008e-11,-0.4689237190156647,-0.4689237190343929,35.93309488252551
100,0,unet1d,1.8728203727891008e-11,0.0960179058213819,0.0960179058026537,33.670343183271406
100,0,our_algorithm,1.8728203727891008e-11,6.624432954720491,6.624432954701763,15.879133154020415
100,5,improved_dae,5.000000000018731,3.531487875089303,-1.4685121249294277,22.67117579239654
100,5,unet1d,5.000000000018731,5.0313262979585485,0.03132629793981767,19.07577201617445
100,5,our_algorithm,5.000000000018731,6.538671350376348,1.5386713503576175,16.036695045067898
100,10,improved_dae,10.000000000018725,6.3470822694792,-3.6529177305395244,16.39435461406064
100,10,unet1d,10.000000000018725,9.805612952019917,-0.19438704799880746,11.009504938999443
100,10,our_algorithm,10.000000000018725,6.545253307770546,-3.454746692248179,16.024547428032783
100,15,improved_dae,15.00000000001873,7.827002796638985,-7.172997203379745,13.82605558012539
100,15,unet1d,15.00000000001873,14.158083692525986,-0.8419163074927436,6.67028289996542
100,15,our_algorithm,15.00000000001873,6.536741367699048,-8.463258632319683,16.040258753996845
101,0,improved_dae,1.8730132382824104e-11,-0.300515341531621,-0.30051534155035114,41.23362988586917
101,0,unet1d,1.8730132382824104e-11,0.1325565163298739,0.13255651631114376,39.228163386031426
101,0,our_algorithm,1.8730132382824104e-11,4.341001918252123,4.341001918233393,24.164382710616778
101,5,improved_dae,5.000000000018728,4.00532519368919,-0.9946748063295381,25.116524378588476
101,5,unet1d,5.000000000018728,5.123783767878521,0.12378376785979306,22.081908851927125
101,5,our_algorithm,5.000000000018728,4.358403368319955,-0.6415966316987731,24.116019861868903
101,10,improved_dae,10.00000000001873,7.31711124875099,-2.6828887512677397,17.15419090201896
101,10,unet1d,10.00000000001873,9.805757930487742,-0.1942420695309881,12.880653715135237
101,10,our_algorithm,10.00000000001873,4.366159492680934,-5.633840507337796,24.094494909399582
101,15,improved_dae,15.000000000018726,9.267853691062452,-5.732146308956274,13.70355088349619
101,15,unet1d,15.000000000018726,13.384462476666965,-1.6155375233517617,8.531053734628598
101,15,our_algorithm,15.000000000018726,4.369381701735064,-10.630618298283663,24.085558219658548
103,0,improved_dae,1.8729168055357557e-11,-0.2624478037478427,-0.2624478037665719,63.48520815811218
103,0,unet1d,1.8729168055357557e-11,0.11761658428669802,0.11761658426796885,60.7672143980897
103,0,our_algorithm,1.8729168055357557e-11,4.678917450544418,4.678917450525689,35.9421692722302
103,5,improved_dae,5.000000000018731,4.0347571950568675,-0.9652428049618633,38.70903083731413
103,5,unet1d,5.000000000018731,5.108329256695033,0.10832925667630189,34.20847349913383
103,5,our_algorithm,5.000000000018731,4.681545950089085,-0.3184540499296462,35.93129419941445
103,10,improved_dae,10.000000000018726,7.35934273011689,-2.640657269901836,26.398729212707646
103,10,unet1d,10.000000000018726,10.049308697446262,0.049308697427536075,19.36799761045305
103,10,our_algorithm,10.000000000018726,4.6679839078910526,-5.332016092127674,35.98744070599598
103,15,improved_dae,15.00000000001873,9.330371268853769,-5.669628731164961,21.039314921061543
103,15,unet1d,15.00000000001873,14.435860377125442,-0.564139622893288,11.688455799365103
103,15,our_algorithm,15.00000000001873,4.66004034789823,-10.3399596521205,36.02036757526336
105,0,improved_dae,1.8729168055357557e-11,-0.10598404572105917,-0.10598404573978834,61.01616494177776
105,0,unet1d,1.8729168055357557e-11,0.053708708659774465,0.053708708641045294,59.904613388522165
105,0,our_algorithm,1.8729168055357557e-11,3.194797827577622,3.194797827558893,41.7259096871331
105,5,improved_dae,5.000000000018728,4.502001869204642,-0.4979981308140857,35.89596322878097
105,5,unet1d,5.000000000018728,4.997992966821295,-0.002007033197433117,33.90361883247775
105,5,our_algorithm,5.000000000018728,2.925501274661109,-2.074498725357619,43.03983932518653
105,10,improved_dae,10.00000000001873,8.453992547323303,-1.5460074526954273,22.774354565433725
105,10,unet1d,10.00000000001873,9.75739016306813,-0.24260983695059934,19.600908302437375
105,10,our_algorithm,10.00000000001873,3.175434514454384,-6.824565485564346,41.819032341795854
105,15,improved_dae,15.00000000001873,11.214487624767608,-3.7855123752511215,16.57377061708793
105,15,unet1d,15.00000000001873,13.945698451239236,-1.0543015487794936,12.102101263465325
105,15,our_algorithm,15.00000000001873,3.1718464066014365,-11.828153593417294,41.83631119308902
106,0,improved_dae,1.8730132382824104e-11,-0.2430668184725943,-0.24306681849132442,79.3578934048758
106,0,unet1d,1.8730132382824104e-11,0.023164495193079924,0.023164495174349792,76.96239339799112
106,0,our_algorithm,1.8730132382824104e-11,3.101345930450619,3.1013459304318887,53.996982793152554
106,5,improved_dae,5.00000000001873,4.085588923697366,-0.9144110763213638,48.21224375420075
106,5,unet1d,5.00000000001873,4.981019742788156,-0.018980257230573727,43.489638999438505
106,5,our_algorithm,5.00000000001873,3.1083229504574206,-1.8916770495613093,53.95362664009
106,10,improved_dae,10.000000000018726,7.452153011632453,-2.547846988386273,32.72119373528458
106,10,unet1d,10.000000000018726,9.875076555505007,-0.12492344451371906,24.756141824185356
106,10,our_algorithm,10.000000000018726,3.107415362405731,-6.892584637612996,53.959264545627335
106,15,improved_dae,15.000000000018725,9.461707914021126,-5.538292085997599,25.962792005238356
106,15,unet1d,15.000000000018725,14.559810016804436,-0.4401899832142888,14.435980573914248
106,15,our_algorithm,15.000000000018725,3.102779981449202,-11.897220018569524,53.98806856117243
107,0,improved_dae,1.8728203727891008e-11,-0.3138964760045748,-0.313896476023303,178.91078263840407
107,0,unet1d,1.8728203727891008e-11,-0.00865183832675462,-0.008651838345482823,172.73258945739178
107,0,our_algorithm,1.8728203727891008e-11,-0.03836696733915571,-0.03836696735788392,173.32453354457584
107,5,improved_dae,5.000000000018728,3.8272960673063947,-1.1727039327123334,111.06491494549235
107,5,unet1d,5.000000000018728,4.9574061854154134,-0.042593814603314684,97.51499042465089
107,5,our_algorithm,5.000000000018728,0.020975707125066575,-4.979024292893661,172.14440279591713
107,10,improved_dae,10.00000000001873,6.8816526107688505,-3.1183473892498794,78.13741890579634
107,10,unet1d,10.00000000001873,9.831089119282021,-0.1689108807367088,55.64001466117843
107,10,our_algorithm,10.00000000001873,0.03738478680364577,-9.962615213215084,171.8195005893638
107,15,improved_dae,15.000000000018726,8.579936636507892,-6.420063363510835,64.26061237906842
107,15,unet1d,15.000000000018726,14.460524827711588,-0.5394751723071387,32.652425732826956
107,15,our_algorithm,15.000000000018726,0.048231933457765,-14.95176806656096,171.6050622146865
108,0,improved_dae,1.8730132382824104e-11,-0.347717818684828,-0.3477178187035581,33.86479696961008
108,0,unet1d,1.8730132382824104e-11,0.09396225025248814,0.09396225023375801,32.18581218993814
108,0,our_algorithm,1.8730132382824104e-11,1.2004236686639644,1.2004236686452343,28.336186473901613
108,5,improved_dae,5.000000000018731,3.688166992502142,-1.3118330075165887,21.279148023834352
108,5,unet1d,5.000000000018731,5.060308313902087,0.06030831388335578,18.169675435515753
108,5,our_algorithm,5.000000000018731,1.183347146536105,-3.816652853482626,28.391950420560693
108,10,improved_dae,10.00000000001873,6.530295097436279,-3.4697049025824507,15.340793726229272
108,10,unet1d,10.00000000001873,9.836969622230459,-0.1630303777882709,10.483688399057996
108,10,our_algorithm,10.00000000001873,1.1846468911485621,-8.815353108870168,28.387702205896687
108,15,improved_dae,15.00000000001873,8.007610840298941,-6.992389159719789,12.941423315579566
108,15,unet1d,15.00000000001873,14.125897842982178,-0.8741021570365515,6.398345582080161
108,15,our_algorithm,15.00000000001873,1.1767721826899662,-13.823227817328764,28.413450431186803
111,0,improved_dae,1.8729168055357557e-11,-0.23522238431308046,-0.23522238433180961,40.03320278859406
111,0,unet1d,1.8729168055357557e-11,0.089013950534582,0.08901395051585283,38.566348354856196
111,0,our_algorithm,1.8729168055357557e-11,2.8342609632759093,2.8342609632571802,28.11552316315569
111,5,improved_dae,5.000000000018727,4.144528981492667,-0.8554710185260603,24.17869006049475
111,5,unet1d,5.000000000018727,5.073757560078773,0.07375756006004597,21.72557798853787
111,5,our_algorithm,5.000000000018727,2.841800970260647,-2.15819902975808,28.09112735981381
111,10,improved_dae,10.00000000001873,7.642731313963647,-2.3572686860550833,16.163025256910416
111,10,unet1d,10.00000000001873,9.89885445399707,-0.10114554602166059,12.465694937866656
111,10,our_algorithm,10.00000000001873,2.792971969812304,-7.207028030206426,28.249490459178777
111,15,improved_dae,15.000000000018726,9.811368610280386,-5.18863138973834,12.591886104092614
111,15,unet1d,15.000000000018726,14.467693479463957,-0.5323065205547692,7.366726448012678
111,15,our_algorithm,15.000000000018726,2.7904697589365766,-12.209530241082149,28.257629678963944
112,0,improved_dae,1.8729168055357557e-11,-0.17006471688178618,-0.17006471690051533,41.41436927068754
112,0,unet1d,1.8729168055357557e-11,-0.06240179869373147,-0.06240179871246064,40.90420023140056
112,0,our_algorithm,1.8729168055357557e-11,2.4946245527164446,2.4946245526977155,30.473096578614733
112,5,improved_dae,5.000000000018728,4.306346976593705,-0.6936530234250231,24.736056652049644
112,5,unet1d,5.000000000018728,4.843719860723101,-0.15628013929562723,23.25208075925902
112,5,our_algorithm,5.000000000018728,2.5939294435946296,-2.4060705564240985,30.126684790207115
112,10,improved_dae,10.00000000001873,7.9861985909917745,-2.0138014090269554,16.193394126079326
112,10,unet1d,10.00000000001873,9.6577253181511,-0.34227468186763055,13.358618577271507
112,10,our_algorithm,10.00000000001873,2.6285713828309727,-7.371428617187757,30.006769801326122
112,15,improved_dae,15.000000000018726,10.371305920523428,-4.628694079495299,12.305025546817276
112,15,unet1d,15.000000000018726,14.212145882510011,-0.787854117508715,7.9075240524687045
112,15,our_algorithm,15.000000000018726,2.645660032192315,-12.354339967826412,29.947792413659222
113,0,improved_dae,1.8731096710290656e-11,-0.09533716896945364,-0.09533716898818474,85.31894090984497
113,0,unet1d,1.8731096710290656e-11,0.32716233985781995,0.3271623398390889,81.2681699882326
113,0,our_algorithm,1.8731096710290656e-11,1.7171438497719105,1.7171438497531795,69.25025944920665
113,5,improved_dae,5.000000000018731,4.350090560911149,-0.6499094391075815,51.14157152415242
113,5,unet1d,5.000000000018731,5.58666943116666,0.5866694311479295,44.3552596377595
113,5,our_algorithm,5.000000000018731,1.7259529543658187,-3.274047045652912,69.18006243250981
113,10,improved_dae,10.00000000001873,7.980201649453708,-2.019798350565022,33.67196915126759
113,10,unet1d,10.00000000001873,10.894099652660184,0.8940996526414544,24.075405724837815
113,10,our_algorithm,10.00000000001873,1.727117732080692,-8.272882267938037,69.17078600881739
113,15,improved_dae,15.00000000001873,10.270798052725345,-4.729201947293385,25.866561135563416
113,15,unet1d,15.00000000001873,15.650644475436685,0.6506444754179554,13.923434418276102
113,15,our_algorithm,15.00000000001873,1.7282301283586703,-13.271769871660059,69.16192791814983
